"Sample"	"Type"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"AKT1"	"BIOPOLYMER_METABOLIC_PROCESS"
"AKT1"	"BIOPOLYMER_METABOLIC_PROCESS"
"AR"	"NUCLEUS"
"AR"	"NUCLEUS"
"AXL"	"SIGNAL_TRANSDUCTION"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"BCL10"	"NUCLEUS"
"BCL6"	"NUCLEUS"
"BCL6"	"NUCLEUS"
"BCR"	"BIOPOLYMER_METABOLIC_PROCESS"
"BCR"	"BIOPOLYMER_METABOLIC_PROCESS"
"BFP"	"OTHER"
"BIRC2"	"SIGNAL_TRANSDUCTION"
"BLNK"	"PUJANA_BRCA1_PCC_NETWORK"
"BMI1"	"NUCLEUS"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRD4"	"OTHER"
"BTG1"	"NUCLEUS"
"BTG1"	"NUCLEUS"
"BTG1"	"NUCLEUS"
"BTK"	"PUJANA_BRCA1_PCC_NETWORK"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CD40"	"PUJANA_BRCA1_PCC_NETWORK"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD70"	"OTHER"
"CD70"	"OTHER"
"CD70"	"OTHER"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CDC42"	"PROTEIN_METABOLIC_PROCESS"
"CDK8"	"NUCLEUS"
"CDK8"	"NUCLEUS"
"CIITA"	"PUJANA_BRCA1_PCC_NETWORK"
"CPS1"	"OTHER"
"CPS1"	"OTHER"
"CPS1"	"OTHER"
"CTNNB1"	"OTHER"
"DPY30"	"OTHER"
"DUSP2"	"NUCLEUS"
"DUSP2"	"NUCLEUS"
"EBF1"	"OTHER"
"EGFP"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGR1"	"NUCLEUS"
"EMPTY"	"OTHER"
"EP400"	"PUJANA_BRCA1_PCC_NETWORK"
"ERBB2"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB2"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB2IP"	"NUCLEUS"
"ERBB3"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERG"	"NUCLEUS"
"ERG"	"NUCLEUS"
"ERRFI1"	"OTHER"
"ERRFI1"	"OTHER"
"ESR1"	"SIGNAL_TRANSDUCTION"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETV1"	"BIOPOLYMER_METABOLIC_PROCESS"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM134C"	"OTHER"
"FAM134C"	"OTHER"
"FAM134C"	"OTHER"
"FAM5C"	"OTHER"
"FAS"	"PUJANA_BRCA1_PCC_NETWORK"
"FBXO11"	"NUCLEUS"
"FBXO11"	"NUCLEUS"
"FBXO11"	"NUCLEUS"
"FGF10"	"NUCLEUS"
"FGFR3"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"FGFR3"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"FRS2"	"SIGNAL_TRANSDUCTION"
"FYN"	"SIGNAL_TRANSDUCTION"
"FYN"	"SIGNAL_TRANSDUCTION"
"GABRA1"	"SIGNAL_TRANSDUCTION"
"GABRA1"	"SIGNAL_TRANSDUCTION"
"GABRA1"	"SIGNAL_TRANSDUCTION"
"GLI1"	"BIOPOLYMER_METABOLIC_PROCESS"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"GRB2"	"PUJANA_BRCA1_PCC_NETWORK"
"GRB2"	"PUJANA_BRCA1_PCC_NETWORK"
"GSC"	"OTHER"
"H1FOO"	"OTHER"
"H1FOO"	"OTHER"
"HCRED"	"OTHER"
"HDAC1"	"PUJANA_BRCA1_PCC_NETWORK"
"HIST1H1B"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1B"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1B"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1B"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1C"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1C"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1C"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1C"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1E"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1E"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H1E"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H2AL"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H2AL"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H3A"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H3A"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H3B"	"PUJANA_ATM_PCC_NETWORK"
"HIST1H3B"	"PUJANA_ATM_PCC_NETWORK"
"HLA-A"	"OTHER"
"HLA-A"	"OTHER"
"HLA-A"	"OTHER"
"HLA-B"	"OTHER"
"HLA-B"	"OTHER"
"HRAS"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"HRAS"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"IDH1"	"OTHER"
"IKBKG"	"PUJANA_ATM_PCC_NETWORK"
"ING1"	"OTHER"
"IRF4"	"PUJANA_BRCA1_PCC_NETWORK"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"ITPKB"	"SIGNAL_TRANSDUCTION"
"JAZF1"	"NUCLEUS"
"JAZF1"	"NUCLEUS"
"KLHL6"	"OTHER"
"KLHL6"	"OTHER"
"KLHL6"	"OTHER"
"KLHL6"	"OTHER"
"KRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"KRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"KRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"KRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"LACZ"	"OTHER"
"LCK"	"BIOPOLYMER_METABOLIC_PROCESS"
"LUCIFERASE"	"OTHER"
"LYN"	"NUCLEUS"
"LYN"	"NUCLEUS"
"LYN"	"NUCLEUS"
"MALT1"	"NUCLEUS"
"MALT1"	"NUCLEUS"
"MAP2K1"	"SIGNAL_TRANSDUCTION"
"MAP3K14"	"OTHER"
"MEF2B"	"NUCLEUS"
"MEF2B"	"NUCLEUS"
"MEF2B"	"NUCLEUS"
"MEF2B"	"NUCLEUS"
"MEF2C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MEF2C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MEF2C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MEF2C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"MET"	"OTHER"
"MYC"	"PUJANA_BRCA1_PCC_NETWORK"
"MYC"	"PUJANA_BRCA1_PCC_NETWORK"
"MYC"	"PUJANA_BRCA1_PCC_NETWORK"
"MYD88"	"SIGNAL_TRANSDUCTION"
"NANOG"	"BIOPOLYMER_METABOLIC_PROCESS"
"NFKBIA"	"NUCLEUS"
"NFKBIA"	"NUCLEUS"
"NOTCH1"	"NUCLEUS"
"NOTCH1"	"NUCLEUS"
"NRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"NRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"P2RY8"	"OTHER"
"PABPC1"	"PUJANA_BRCA1_PCC_NETWORK"
"PABPC1"	"PUJANA_BRCA1_PCC_NETWORK"
"PASD1"	"OTHER"
"PASD1"	"OTHER"
"PASD1"	"OTHER"
"PASD1"	"OTHER"
"PAX5"	"PUJANA_BRCA1_PCC_NETWORK"
"PDCD1LG2"	"OTHER"
"PDGFC"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"PDGFC"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"PDGFC"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"PDGFC"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"PIK3CA"	"OTHER"
"PIK3CA"	"OTHER"
"PIK3CA"	"OTHER"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PIM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PLCG1"	"PUJANA_BRCA1_PCC_NETWORK"
"PLCG1"	"PUJANA_BRCA1_PCC_NETWORK"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU2F2"	"BIOPOLYMER_METABOLIC_PROCESS"
"POU5F1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PPARG"	"BIOPOLYMER_METABOLIC_PROCESS"
"PRDM1"	"BIOPOLYMER_METABOLIC_PROCESS"
"PREX2"	"OTHER"
"PREX2"	"OTHER"
"PRKCA"	"PUJANA_BRCA1_PCC_NETWORK"
"PRKCE"	"BIOPOLYMER_METABOLIC_PROCESS"
"RAC1"	"PROTEIN_METABOLIC_PROCESS"
"RAC1"	"PROTEIN_METABOLIC_PROCESS"
"RAF1"	"BIOPOLYMER_METABOLIC_PROCESS"
"RHOA"	"SIGNAL_TRANSDUCTION"
"RNF2"	"PUJANA_BRCA1_PCC_NETWORK"
"S1PR2"	"OTHER"
"S1PR2"	"OTHER"
"S1PR2"	"OTHER"
"SETD8"	"OTHER"
"SETDB1"	"OTHER"
"SGK1"	"OTHER"
"SGK1"	"OTHER"
"SGK1"	"OTHER"
"SIP1"	"OTHER"
"SLITRK6"	"OTHER"
"SLITRK6"	"OTHER"
"SLITRK6"	"OTHER"
"SMARCB1"	"PUJANA_BRCA1_PCC_NETWORK"
"SNAI1"	"NUCLEUS"
"SNAI2"	"NUCLEUS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOCS1"	"BIOPOLYMER_METABOLIC_PROCESS"
"SOX2"	"PUJANA_BRCA1_PCC_NETWORK"
"SPIB"	"PUJANA_BRCA1_PCC_NETWORK"
"SPIB"	"PUJANA_BRCA1_PCC_NETWORK"
"SRC"	"PROTEIN_METABOLIC_PROCESS"
"SRC"	"PROTEIN_METABOLIC_PROCESS"
"SRC"	"PROTEIN_METABOLIC_PROCESS"
"SRPX"	"OTHER"
"SRPX"	"OTHER"
"STAT3"	"NUCLEUS"
"STAT3"	"NUCLEUS"
"STAT6"	"SIGNAL_TRANSDUCTION"
"STAT6"	"SIGNAL_TRANSDUCTION"
"SUV39H1"	"NUCLEUS"
"SUZ12"	"PUJANA_BRCA1_PCC_NETWORK"
"SYK"	"PUJANA_BRCA1_PCC_NETWORK"
"SYK"	"PUJANA_BRCA1_PCC_NETWORK"
"SYN2"	"OTHER"
"SYN2"	"OTHER"
"TBL1XR1"	"OTHER"
"TCF7L2"	"BIOPOLYMER_METABOLIC_PROCESS"
"TGFBR1"	"BIOPOLYMER_METABOLIC_PROCESS"
"TMSB4X"	"OTHER"
"TMSB4X"	"OTHER"
"TMSB4X"	"OTHER"
"TMSB4X"	"OTHER"
"TMSB4X"	"OTHER"
"TNF"	"PUJANA_BRCA1_PCC_NETWORK"
"TNF"	"PUJANA_BRCA1_PCC_NETWORK"
"TNF"	"PUJANA_BRCA1_PCC_NETWORK"
"TNFRSF13B"	"SIGNAL_TRANSDUCTION"
"TNFRSF13B"	"SIGNAL_TRANSDUCTION"
"TNFRSF14"	"SIGNAL_TRANSDUCTION"
"TNFRSF14"	"SIGNAL_TRANSDUCTION"
"TNFRSF14"	"SIGNAL_TRANSDUCTION"
"TNFRSF17"	"PUJANA_BRCA1_PCC_NETWORK"
"TP53"	"PUJANA_BRCA1_PCC_NETWORK"
"TP53"	"PUJANA_BRCA1_PCC_NETWORK"
"TP53"	"PUJANA_BRCA1_PCC_NETWORK"
"TP53"	"PUJANA_BRCA1_PCC_NETWORK"
"UBE2A"	"BIOPOLYMER_METABOLIC_PROCESS"
"UBE2A"	"BIOPOLYMER_METABOLIC_PROCESS"
"UBE2A"	"BIOPOLYMER_METABOLIC_PROCESS"
"UBE2A"	"BIOPOLYMER_METABOLIC_PROCESS"
"UNC5C"	"MULTICELLULAR_ORGANISMAL_DEVELOPMENT"
"YAP1"	"OTHER"
"YAP1"	"OTHER"
"YAP1"	"OTHER"
"YAP1"	"OTHER"
"YY1"	"PUJANA_BRCA1_PCC_NETWORK"
"YY1"	"PUJANA_BRCA1_PCC_NETWORK"
"ZNF608"	"OTHER"
"ZNF608"	"OTHER"
"ZNF830"	"OTHER"
"ZNF830"	"OTHER"
"ZNF830"	"OTHER"
"ZNF830"	"OTHER"
